Site,Year,Month,date_yearmon,CHLa,logCHLa,AFDM,anomaly,Days_Since_Freshet,Q_peak_cfs,Q_baseflow_cfs,Q_obs_cfs,logQ_obs_cfs,TP_mg_L,logTP_mg_L,TN_mg_L,SRP_mg_L,NH4_mg_L,NO3_mg_L,DIN_mg_L,pH,Temp_oC,SPC,TDS,TURBIDITY
BM,2013,8,Aug 2013,22.80952380952381,1.358116218680644,8.047619047619047,1.7096403244446603,78,25600,5123.015938202797,1590,3.2013971243204513,0.01297249999999999,1.1130236793669646,0.2439725,0.0035125,0.0136725,0.02704999999999999,0.04072249999999999,8.3525,18.174999999999997,258.95,168.325,2.49
BM,2013,9,Sep 2013,81.42857142857143,1.9107768156582343,14.476190476190476,1.7096403244446603,110,25600,5123.015938202797,1280,3.1072099696478683,0.01537749999999999,1.1868857356957851,0.2493858333333333,0.00555083333333332,0.01359416666666666,0.0367375,0.05033166666666666,8.3875,16.325,282.1,183.275,2.7125
BM,2014,7,Jul 2014,44.1578947368421,1.6450083598758714,14.636842105263158,1.8681292479684624,66,33400,5123.015938202797,3260,3.513217600067939,0.02025,1.3064250275506875,0.14500000000000002,0.00825,NA,0.0093,NA,8.129999999999999,16.950000000000003,228.75,148.85,3.79
BM,2014,9,Sep 2014,123.66666666666669,2.0922526548953835,19.53809523809524,1.8681292479684624,98,33400,5123.015938202797,2880,3.459392487759231,0.0168,1.2253092817258628,0.19,0.00687499999999999,0.0118,0.02439999999999999,0.03619999999999999,8.127500000000001,15.375,308.925,200.675,2.335
BM,2015,7,Jul 2015,228.125,2.35817288180055,64.375,1.4369421813136871,31,15200,5123.015938202797,2520,3.401400540781544,0.0132,1.1205739312058498,0.2065,0.0023,0.0075,0.01145,0.01895,8.395,18.9,222.05,144.3,1.465
BM,2015,8,Aug 2015,100.23809523809524,2.001032805437768,24.761904761904763,1.4369421813136871,61,15200,5123.015938202797,1810,3.2576785748691846,0.016225,1.2101847054724069,0.217,0.00219999999999999,0.0098,0.0165,0.0263,8.37,17.6,251.775,163.625,2.1825
BM,2015,9,Sep 2015,76.33333333333333,1.8827142276202256,16.333333333333332,1.4369421813136871,96,15200,5123.015938202797,1820,3.2600713879850747,0.01995,1.299942900022767,0.23925,0.00245,0.01155,0.0211,0.03265,8.39,14.9,291.175,189.275,3.83
BM,2016,7,Jul 2016,373.08947368421053,2.5718129960648124,92.34157894736842,1.4856888302354885,55,16800,5123.015938202797,3190,3.503790683057181,0.01385,1.1414497734004674,0.1635,0.00166666666666666,0.00789999999999999,0.0113,0.01919999999999998,8.34,16.75,244.85,159.25,1.63
BM,2016,7,Jul 2016,143.85714285714286,2.157931430539361,50.22380952380952,1.4856888302354885,76,16800,5123.015938202797,2080,3.3180633349627615,0.01385,1.1414497734004674,0.1635,0.00166666666666666,0.00789999999999999,0.0113,0.01919999999999998,8.34,16.75,244.85,159.25,1.63
BM,2016,9,Sep 2016,285.76190476190476,2.4560043320321774,51.023809523809526,1.4856888302354885,116,16800,5123.015938202797,1340,3.1271047983648077,0.022525,1.3526647996511005,0.23925,0.00204999999999999,0.01292499999999999,0.0315,0.044425,8.2925,13.425,275.92499999999995,179.375,5.965
