Site,Year,Month,date_yearmon,Date_sample,AFDM,CHLa,NH4_mg_L,NO3_mg_L,SPC,SRP_mg_L,TDS,TN_mg_L,TP_mg_L,Temp_oC,pH,TURBIDITY,DIN_mg_L
BM,2004,9,Sep 2004,NA,NA,NA,NA,0.046,1611,0.018000000000000002,NA,0.15000000000000002,0.0365,12.5,8.309999999999999,2.875,NA
BM,2005,1,Jan 2005,NA,NA,NA,0.02,0.194,380,0.012,NA,0.1,0.031,2.2,7.63,4.7,0.214
BM,2005,2,Feb 2005,NA,NA,NA,0.01,0.073,296,0.004,NA,0.1,0.014,3.2,8.42,3.2,0.08299999999999999
BM,2005,3,Mar 2005,NA,NA,NA,NA,0.074,288,0.011,NA,0.1,0.027,8.8,8.38,4.6,NA
BM,2005,4,Apr 2005,NA,NA,NA,NA,0.039,227,0.011,NA,0.2,0.022,8.2,8.3,5.4,NA
BM,2005,5,May 2005,NA,NA,NA,NA,0.06,211,0.014,NA,0.4,0.063,12.3,7.81,26.2,NA
BM,2005,6,Jun 2005,NA,NA,NA,0.01,0.0335,314.5,0.0155,NA,0.30000000000000004,0.0515,17.9,8.46,14.45,0.043500000000000004
BM,2005,7,Jul 2005,NA,NA,NA,NA,0.0225,268.5,0.0075,NA,0.2,0.020999999999999998,20.05,8.9,3.15,NA
BM,2005,8,Aug 2005,NA,NA,NA,0.02,0.059,258,0.035,NA,0.2,0.0215,19.95,9.105,2.35,0.079
BM,2005,9,Sep 2005,NA,NA,NA,0.03,0.05566666666666666,326,0.012,NA,0.9,0.015666666666666666,12.533333333333333,8.526666666666666,1.6666666666666667,0.08566666666666667
BM,2005,10,Oct 2005,NA,NA,NA,NA,0.068,340,0.017,NA,0.2,0.049,11.5,8.96,NA,NA
BM,2005,11,Nov 2005,NA,NA,NA,0.01,0.058,268,0.013,NA,NA,0.026,2.6,NA,NA,0.068
BM,2005,12,Dec 2005,NA,NA,NA,0.01,0.168,375,0.014,NA,0.1,0.028,1.2,NA,NA,0.17800000000000002
BM,2006,5,May 2006,NA,NA,NA,0.1,0.056,176.4,0.011,NA,0.4,0.046,12.4,8.19,10.8,0.156
BM,2006,6,Jun 2006,NA,NA,NA,0.03,0.036,204.95,0.0135,NA,0.35,0.056,16.4,8.055,14.649999999999999,0.066
