"Site","bracket","year","median_logCHLa","p10_logCHLa","p90_logCHLa","n_members","frac_temp_extrap"
"FH","high",2038,1.39097270855232,1.35747269441517,1.43465909616777,11,0
"FH","high",2039,1.40032417463318,1.37196197237919,1.45188904441784,11,0
"FH","high",2040,1.39997419111678,1.37615029586785,1.46440815223483,11,0
"FH","high",2041,1.41813474956613,1.38286618476985,1.47656760232876,11,0
"FH","high",2042,1.42956860792257,1.38982954719789,1.47758371561459,11,0
"FH","high",2043,1.43628523992738,1.39760845121174,1.47991945679644,11,0
"FH","high",2044,1.44536918708948,1.41244743542524,1.47682052004941,11,0
"FH","high",2045,1.45084706715409,1.41112545073919,1.4752054516664,11,0
"FH","high",2046,1.46097387613474,1.41582746800218,1.48208322447652,11,0
"FH","high",2047,1.46344497988952,1.41327285508356,1.49440346490339,11,0
"FH","high",2048,1.47417590746104,1.428295641453,1.50227409225242,11,0
"FH","high",2049,1.47844603210375,1.43657855187716,1.51476435885556,11,0
"FH","high",2050,1.4820566116179,1.45050025692438,1.52617439781624,11,0
"FH","high",2051,1.48528876729829,1.45736933298873,1.53136040886377,11,0
"FH","high",2052,1.49260201219519,1.45775832609206,1.53647622495065,11,0
"FH","high",2053,1.49748872033425,1.45636057571867,1.54961795796644,11,0
"FH","high",2054,1.50107351632623,1.46011811274052,1.54713661166647,11,0
"FH","high",2055,1.51193970811675,1.46892210053683,1.54767397725207,11,0
"FH","high",2056,1.51584215629858,1.47991013062655,1.56361118895729,11,0
"FH","high",2057,1.52281258831953,1.48573764947734,1.55853609523594,11,0
"FH","high",2058,1.53306965468224,1.49518549092672,1.58074156730825,11,0
"FH","high",2059,1.53610611546407,1.50868059295203,1.56505924264921,11,0
"FH","high",2060,1.53884789397339,1.51784883095804,1.56415289960575,11,0
"FH","high",2061,1.54589596936333,1.51221979188482,1.56816373869077,11,0
"FH","high",2062,1.54156899129695,1.52103893985215,1.56981271222039,11,0
"FH","high",2063,1.55093120849338,1.53225492207676,1.58447565879461,11,0
"FH","high",2064,1.56553297174116,1.53797225280438,1.59165778718071,11,0
"FH","high",2065,1.57911860798737,1.53319453753075,1.59655980600914,11,0
"FH","high",2066,1.58920249780822,1.54121314690748,1.61621083604276,11,1
"FH","high",2067,1.60182742073475,1.54799906460156,1.62333455299051,11,1
"FH","high",2068,1.60738835524611,1.54814613916489,1.63395931578424,11,1
"FH","high",2069,1.60939828937995,1.56097830452011,1.63563056236904,11,1
"FH","high",2070,1.6193057747596,1.5823110763877,1.64793341713519,11,1
"FH","high",2071,1.6200879229036,1.58457512582296,1.66120169202629,11,1
"FH","high",2072,1.62479614414029,1.58932122494075,1.66838395741217,11,1
"FH","high",2073,1.63209735255548,1.59459769263227,1.68087509036808,11,1
"FH","high",2074,1.64015396556316,1.60424811366467,1.69903204450038,11,1
"FH","high",2075,1.64422268080096,1.61821269691767,1.70735644518421,11,1
"FH","high",2076,1.6472302241137,1.61446246253552,1.73821422606166,11,1
"FH","high",2077,1.65234961277737,1.62167141343864,1.76953479050839,11,1
"FH","high",2078,1.66409738282301,1.62559788607824,1.77699909595635,11,1
"FH","high",2079,1.67839523092061,1.63670964260894,1.77850592622948,11,1
"FH","high",2080,1.68034856195979,1.63885984456382,1.78683292356275,11,1
"FH","high",2081,1.68605353602183,1.63650238697765,1.78293233250631,11,1
"FH","high",2082,1.68954381683989,1.63925893192987,1.77742331284952,11,1
